incident_id,employee_id,incident_date,incident_type,lost_time_days
INC00000,E0102,2024-01-01,Harassment,26
INC00001,E0270,2024-01-04,Harassment,26
INC00002,E0106,2024-01-07,Injury,16
INC00003,E0071,2024-01-10,Harassment,21
INC00004,E0188,2024-01-13,Injury,7
INC00005,E0020,2024-01-16,Harassment,4
INC00006,E0102,2024-01-19,Harassment,1
INC00007,E0121,2024-01-22,Harassment,30
INC00008,E0214,2024-01-25,Injury,30
INC00009,E0087,2024-01-28,Discrimination,5
INC00010,E0099,2024-01-31,Injury,23
INC00011,E0151,2024-02-03,Injury,26
INC00012,E0130,2024-02-06,Injury,10
INC00013,E0149,2024-02-09,Harassment,22
INC00014,E0257,2024-02-12,Harassment,5
INC00015,E0293,2024-02-15,Injury,4
INC00016,E0191,2024-02-18,Harassment,2
INC00017,E0276,2024-02-21,Injury,20
INC00018,E0160,2024-02-24,Harassment,10
INC00019,E0021,2024-02-27,Injury,26
INC00020,E0252,2024-03-01,Harassment,19
INC00021,E0235,2024-03-04,Injury,26
INC00022,E0048,2024-03-07,Discrimination,1
INC00023,E0058,2024-03-10,Injury,24
INC00024,E0169,2024-03-13,Injury,5
INC00025,E0187,2024-03-16,Injury,13
INC00026,E0270,2024-03-19,Discrimination,4
INC00027,E0189,2024-03-22,Discrimination,16
INC00028,E0174,2024-03-25,Injury,24
INC00029,E0050,2024-03-28,Harassment,16
INC00030,E0054,2024-03-31,Discrimination,23
INC00031,E0243,2024-04-03,Harassment,2
INC00032,E0130,2024-04-06,Harassment,17
INC00033,E0134,2024-04-09,Injury,28
INC00034,E0020,2024-04-12,Injury,27
INC00035,E0166,2024-04-15,Discrimination,20
INC00036,E0273,2024-04-18,Discrimination,24
INC00037,E0088,2024-04-21,Harassment,12
INC00038,E0013,2024-04-24,Injury,18
INC00039,E0241,2024-04-27,Injury,3
INC00040,E0264,2024-04-30,Harassment,28
INC00041,E0052,2024-05-03,Discrimination,1
INC00042,E0091,2024-05-06,Discrimination,1
INC00043,E0263,2024-05-09,Harassment,29
INC00044,E0034,2024-05-12,Harassment,19
INC00045,E0205,2024-05-15,Injury,11
INC00046,E0080,2024-05-18,Injury,5
INC00047,E0049,2024-05-21,Discrimination,12
INC00048,E0001,2024-05-24,Harassment,3
INC00049,E0053,2024-05-27,Injury,1
INC00050,E0105,2024-05-30,Injury,1
INC00051,E0259,2024-06-02,Harassment,8
INC00052,E0190,2024-06-05,Injury,10
INC00053,E0217,2024-06-08,Injury,11
INC00054,E0043,2024-06-11,Harassment,12
INC00055,E0161,2024-06-14,Harassment,29
INC00056,E0201,2024-06-17,Harassment,13
INC00057,E0269,2024-06-20,Injury,12
INC00058,E0270,2024-06-23,Harassment,14
INC00059,E0214,2024-06-26,Injury,2
INC00060,E0251,2024-06-29,Injury,29
INC00061,E0189,2024-07-02,Harassment,19
INC00062,E0295,2024-07-05,Harassment,18
INC00063,E0212,2024-07-08,Discrimination,3
INC00064,E0207,2024-07-11,Harassment,23
INC00065,E0236,2024-07-14,Harassment,17
INC00066,E0052,2024-07-17,Injury,26
INC00067,E0279,2024-07-20,Injury,8
INC00068,E0216,2024-07-23,Injury,29
INC00069,E0251,2024-07-26,Injury,26
INC00070,E0187,2024-07-29,Discrimination,10
INC00071,E0040,2024-08-01,Injury,26
INC00072,E0156,2024-08-04,Discrimination,30
INC00073,E0014,2024-08-07,Harassment,2
INC00074,E0064,2024-08-10,Harassment,19
INC00075,E0008,2024-08-13,Harassment,9
INC00076,E0128,2024-08-16,Harassment,7
INC00077,E0135,2024-08-19,Injury,4
INC00078,E0062,2024-08-22,Injury,26
INC00079,E0138,2024-08-25,Harassment,21
INC00080,E0080,2024-08-28,Injury,18
INC00081,E0162,2024-08-31,Injury,13
INC00082,E0288,2024-09-03,Harassment,11
INC00083,E0260,2024-09-06,Injury,29
INC00084,E0230,2024-09-09,Discrimination,24
INC00085,E0040,2024-09-12,Discrimination,4
INC00086,E0027,2024-09-15,Discrimination,25
INC00087,E0134,2024-09-18,Injury,21
INC00088,E0200,2024-09-21,Injury,29
INC00089,E0267,2024-09-24,Discrimination,25
INC00090,E0032,2024-09-27,Injury,4
INC00091,E0047,2024-09-30,Discrimination,10
INC00092,E0061,2024-10-03,Discrimination,5
INC00093,E0215,2024-10-06,Discrimination,9
INC00094,E0292,2024-10-09,Injury,24
INC00095,E0098,2024-10-12,Injury,3
INC00096,E0171,2024-10-15,Discrimination,17
INC00097,E0213,2024-10-18,Injury,3
INC00098,E0034,2024-10-21,Injury,16
INC00099,E0226,2024-10-24,Harassment,4
INC00100,E0100,2024-10-27,Discrimination,18
INC00101,E0130,2024-10-30,Harassment,17
INC00102,E0256,2024-11-02,Harassment,7
INC00103,E0004,2024-11-05,Injury,24
INC00104,E0217,2024-11-08,Harassment,23
INC00105,E0254,2024-11-11,Discrimination,30
INC00106,E0282,2024-11-14,Injury,5
INC00107,E0206,2024-11-17,Harassment,12
INC00108,E0014,2024-11-20,Discrimination,17
INC00109,E0041,2024-11-23,Harassment,23
INC00110,E0178,2024-11-26,Harassment,13
INC00111,E0062,2024-11-29,Harassment,23
INC00112,E0230,2024-12-02,Injury,25
INC00113,E0240,2024-12-05,Injury,3
INC00114,E0051,2024-12-08,Discrimination,9
INC00115,E0095,2024-12-11,Discrimination,30
INC00116,E0221,2024-12-14,Discrimination,17
INC00117,E0230,2024-12-17,Discrimination,17
INC00118,E0236,2024-12-20,Harassment,30
INC00119,E0142,2024-12-23,Harassment,20
INC00120,E0170,2024-12-26,Harassment,16
INC00121,E0028,2024-12-29,Harassment,25
INC00122,E0035,2025-01-01,Harassment,22
INC00123,E0012,2025-01-04,Harassment,13
INC00124,E0159,2025-01-07,Discrimination,27
INC00125,E0186,2025-01-10,Injury,19
INC00126,E0242,2025-01-13,Injury,17
INC00127,E0085,2025-01-16,Injury,4
INC00128,E0283,2025-01-19,Harassment,12
INC00129,E0065,2025-01-22,Injury,29
INC00130,E0169,2025-01-25,Injury,9
INC00131,E0044,2025-01-28,Harassment,19
INC00132,E0061,2025-01-31,Injury,12
INC00133,E0133,2025-02-03,Harassment,9
INC00134,E0283,2025-02-06,Injury,7
INC00135,E0027,2025-02-09,Injury,28
INC00136,E0107,2025-02-12,Discrimination,14
INC00137,E0043,2025-02-15,Injury,20
INC00138,E0285,2025-02-18,Injury,19
INC00139,E0127,2025-02-21,Harassment,26
INC00140,E0230,2025-02-24,Harassment,15
INC00141,E0189,2025-02-27,Injury,16
INC00142,E0224,2025-03-02,Harassment,21
INC00143,E0282,2025-03-05,Injury,5
INC00144,E0120,2025-03-08,Injury,3
INC00145,E0115,2025-03-11,Harassment,12
INC00146,E0232,2025-03-14,Harassment,25
INC00147,E0258,2025-03-17,Harassment,20
INC00148,E0197,2025-03-20,Harassment,27
INC00149,E0136,2025-03-23,Discrimination,21
INC00150,E0164,2025-03-26,Harassment,4
INC00151,E0224,2025-03-29,Injury,21
INC00152,E0233,2025-04-01,Harassment,23
INC00153,E0171,2025-04-04,Injury,16
INC00154,E0151,2025-04-07,Injury,25
INC00155,E0159,2025-04-10,Injury,7
INC00156,E0095,2025-04-13,Injury,13
INC00157,E0232,2025-04-16,Discrimination,21
INC00158,E0179,2025-04-19,Discrimination,10
INC00159,E0112,2025-04-22,Harassment,26
INC00160,E0051,2025-04-25,Injury,7
INC00161,E0267,2025-04-28,Injury,14
INC00162,E0294,2025-05-01,Injury,26
INC00163,E0112,2025-05-04,Injury,5
INC00164,E0100,2025-05-07,Harassment,3
INC00165,E0112,2025-05-10,Harassment,23
INC00166,E0080,2025-05-13,Harassment,29
INC00167,E0186,2025-05-16,Injury,11
INC00168,E0112,2025-05-19,Discrimination,11
INC00169,E0001,2025-05-22,Harassment,18
INC00170,E0129,2025-05-25,Harassment,15
INC00171,E0219,2025-05-28,Harassment,12
INC00172,E0053,2025-05-31,Injury,9
INC00173,E0223,2025-06-03,Injury,10
INC00174,E0224,2025-06-06,Injury,26
INC00175,E0125,2025-06-09,Harassment,12
