training_id,employee_id,training_date,training_topic,hours
T00000,E0169,2024-01-01,Anti-Discrimination,8
T00001,E0282,2024-01-03,Anti-Discrimination,2
T00002,E0121,2024-01-05,Anti-Discrimination,4
T00003,E0193,2024-01-07,Labour Rights,8
T00004,E0004,2024-01-09,Safety Procedures,2
T00005,E0028,2024-01-11,Anti-Discrimination,4
T00006,E0164,2024-01-13,Safety Procedures,4
T00007,E0135,2024-01-15,Anti-Discrimination,2
T00008,E0144,2024-01-17,Safety Procedures,2
T00009,E0216,2024-01-19,Anti-Discrimination,2
T00010,E0131,2024-01-21,Anti-Discrimination,4
T00011,E0291,2024-01-23,Labour Rights,4
T00012,E0069,2024-01-25,Safety Procedures,8
T00013,E0251,2024-01-27,Safety Procedures,6
T00014,E0274,2024-01-29,Labour Rights,2
T00015,E0181,2024-01-31,Safety Procedures,4
T00016,E0166,2024-02-02,Anti-Discrimination,4
T00017,E0090,2024-02-04,Safety Procedures,2
T00018,E0201,2024-02-06,Labour Rights,6
T00019,E0018,2024-02-08,Safety Procedures,2
T00020,E0038,2024-02-10,Safety Procedures,6
T00021,E0125,2024-02-12,Safety Procedures,4
T00022,E0172,2024-02-14,Labour Rights,6
T00023,E0140,2024-02-16,Labour Rights,8
T00024,E0241,2024-02-18,Safety Procedures,4
T00025,E0219,2024-02-20,Anti-Discrimination,8
T00026,E0125,2024-02-22,Safety Procedures,2
T00027,E0057,2024-02-24,Safety Procedures,2
T00028,E0147,2024-02-26,Anti-Discrimination,2
T00029,E0000,2024-02-28,Safety Procedures,6
T00030,E0189,2024-03-01,Labour Rights,4
T00031,E0190,2024-03-03,Safety Procedures,2
T00032,E0116,2024-03-05,Safety Procedures,2
T00033,E0133,2024-03-07,Anti-Discrimination,4
T00034,E0057,2024-03-09,Labour Rights,2
T00035,E0043,2024-03-11,Safety Procedures,8
T00036,E0172,2024-03-13,Anti-Discrimination,4
T00037,E0159,2024-03-15,Labour Rights,4
T00038,E0172,2024-03-17,Anti-Discrimination,4
T00039,E0148,2024-03-19,Labour Rights,8
T00040,E0079,2024-03-21,Labour Rights,4
T00041,E0212,2024-03-23,Labour Rights,8
T00042,E0202,2024-03-25,Anti-Discrimination,4
T00043,E0251,2024-03-27,Labour Rights,6
T00044,E0228,2024-03-29,Anti-Discrimination,2
T00045,E0163,2024-03-31,Anti-Discrimination,6
T00046,E0226,2024-04-02,Anti-Discrimination,2
T00047,E0146,2024-04-04,Anti-Discrimination,8
T00048,E0019,2024-04-06,Labour Rights,6
T00049,E0046,2024-04-08,Labour Rights,4
T00050,E0232,2024-04-10,Safety Procedures,2
T00051,E0013,2024-04-12,Anti-Discrimination,2
T00052,E0142,2024-04-14,Safety Procedures,6
T00053,E0000,2024-04-16,Safety Procedures,8
T00054,E0053,2024-04-18,Labour Rights,6
T00055,E0258,2024-04-20,Safety Procedures,8
T00056,E0143,2024-04-22,Safety Procedures,8
T00057,E0011,2024-04-24,Anti-Discrimination,2
T00058,E0223,2024-04-26,Anti-Discrimination,6
T00059,E0271,2024-04-28,Safety Procedures,6
T00060,E0155,2024-04-30,Safety Procedures,8
T00061,E0007,2024-05-02,Anti-Discrimination,6
T00062,E0121,2024-05-04,Safety Procedures,4
T00063,E0163,2024-05-06,Safety Procedures,4
T00064,E0089,2024-05-08,Safety Procedures,6
T00065,E0135,2024-05-10,Safety Procedures,6
T00066,E0185,2024-05-12,Safety Procedures,8
T00067,E0177,2024-05-14,Anti-Discrimination,4
T00068,E0027,2024-05-16,Anti-Discrimination,4
T00069,E0219,2024-05-18,Labour Rights,2
T00070,E0040,2024-05-20,Safety Procedures,8
T00071,E0227,2024-05-22,Anti-Discrimination,2
T00072,E0191,2024-05-24,Labour Rights,4
T00073,E0144,2024-05-26,Labour Rights,8
T00074,E0200,2024-05-28,Labour Rights,6
T00075,E0211,2024-05-30,Safety Procedures,8
T00076,E0219,2024-06-01,Safety Procedures,6
T00077,E0239,2024-06-03,Labour Rights,6
T00078,E0045,2024-06-05,Labour Rights,8
T00079,E0034,2024-06-07,Labour Rights,6
T00080,E0252,2024-06-09,Labour Rights,2
T00081,E0081,2024-06-11,Anti-Discrimination,4
T00082,E0255,2024-06-13,Anti-Discrimination,6
T00083,E0196,2024-06-15,Labour Rights,2
T00084,E0009,2024-06-17,Anti-Discrimination,6
T00085,E0285,2024-06-19,Anti-Discrimination,4
T00086,E0241,2024-06-21,Labour Rights,2
T00087,E0250,2024-06-23,Labour Rights,4
T00088,E0004,2024-06-25,Anti-Discrimination,4
T00089,E0118,2024-06-27,Safety Procedures,2
T00090,E0288,2024-06-29,Labour Rights,2
T00091,E0064,2024-07-01,Anti-Discrimination,2
T00092,E0145,2024-07-03,Safety Procedures,8
T00093,E0223,2024-07-05,Labour Rights,2
T00094,E0238,2024-07-07,Safety Procedures,2
T00095,E0176,2024-07-09,Labour Rights,2
T00096,E0266,2024-07-11,Safety Procedures,2
T00097,E0281,2024-07-13,Safety Procedures,6
T00098,E0062,2024-07-15,Safety Procedures,8
T00099,E0216,2024-07-17,Safety Procedures,4
T00100,E0282,2024-07-19,Anti-Discrimination,2
T00101,E0176,2024-07-21,Anti-Discrimination,6
T00102,E0097,2024-07-23,Safety Procedures,6
T00103,E0104,2024-07-25,Labour Rights,6
T00104,E0098,2024-07-27,Safety Procedures,4
T00105,E0005,2024-07-29,Anti-Discrimination,2
